published_at,day_of_week,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2022-01-30 20:00:46,0,2579889,5826.623590349998,96.33063057142856,14.290186142857143,0.2790340414285714,0.15311147,739220,37452816,1631,6655,19261,233.0,950.714285714286,2751.571428571429,channel_3s,Sunday
2022-02-02 20:00:51,3,2292834,4929.6040689,96.65251642857145,12.955105,0.3719301585714286,0.2238304,855174,29766449,1255,5939,13451,179.2857142857143,848.4285714285714,1921.571428571429,channel_3s,Wednesday
2022-02-06 20:00:20,0,3048297,7501.134380249999,75.53360771428572,12.00617357142857,0.291420057142857,0.158557,882846,36786821,1345,7297,21135,192.1428571428572,1042.4285714285716,3019.2857142857147,channel_3s,Sunday
2022-02-09 20:00:52,3,2417754,6524.5262109,88.31889142857143,11.852128785714283,0.29044377,0.23155823,708204,29085805,1001,5979,22953,143.0,854.1428571428571,3279.0,channel_3s,Wednesday
2022-02-13 20:00:24,0,3447571,6558.174559349999,74.78859228571429,11.389015785714284,0.2737806942857143,0.23101762,914302,38302966,4880,7386,49942,697.1428571428572,1055.142857142857,7134.571428571429,channel_3s,Sunday
2022-02-16 20:00:48,3,4357928,9994.4478762,87.003536,11.420158285714283,0.2372962,0.2343282,917752,46594704,1132,6845,18425,161.71428571428572,977.8571428571428,2632.1428571428573,channel_3s,Wednesday
2022-02-20 20:00:53,0,2381055,5626.161597300001,92.9358457142857,11.074945428571429,0.2676003342857143,0.202958,620108,26275995,1240,5282,9401,177.14285714285714,754.5714285714287,1343.0,channel_3s,Sunday
2022-02-23 20:00:39,3,2399389,6960.787824149999,82.15813714285714,12.90190435714286,0.31547223,0.19601974,768631,31206110,2888,11934,21216,412.57142857142856,1704.857142857143,3030.857142857143,channel_3s,Wednesday
2022-02-27 20:00:32,0,2123943,4030.6042038,87.99718585714285,12.825881857142855,0.2996423171428571,0.20221722,618906,26677239,629,5084,12783,89.85714285714285,726.2857142857143,1826.142857142857,channel_3s,Sunday
2022-03-02 20:00:21,3,1681317,3805.9913134500007,99.78916657142857,12.903043285714286,0.4065193914285714,0.21519929,701749,22187533,974,5532,9749,139.14285714285714,790.2857142857144,1392.7142857142858,channel_3s,Wednesday
2022-03-06 20:00:53,0,2333404,6581.904663900001,122.27463942857143,17.018959714285714,0.3672234042857142,0.27698082,841844,39561368,3280,8011,19796,468.5714285714285,1144.4285714285716,2828.0,channel_3s,Sunday
2022-02-12 20:00:04,6,82782,-,122.34175125,24.82903125,0.3816937075,0.11141275,31526,2048776,271,1378,64,67.75,344.5,16.0,channel_5w,Saturday
2022-02-19 20:00:11,6,2023983,-,75.22014,17.00686825,0.283736105,0.19161505,575483,34467726,3158,7734,71254,789.5,1933.5,17813.5,channel_5w,Saturday
2022-02-26 20:00:38,6,5392616,-,71.7292075,15.328887624999998,0.1379865699999999,0.24486172,744774,82658940,9273,97567,137998,2318.25,24391.75,34499.5,channel_5w,Saturday
2022-03-05 20:00:48,6,4415357,-,52.9484445,13.182151875,0.087403936,0.3142796,386200,58221570,2428,142492,69835,607.0,35623.0,17458.75,channel_5w,Saturday
